STT,Tên chức năng,Phân loại,Trạng thái,Mô tả vấn đề,Mong đợi (đã format)
1,Đăng nhập bằng email,Người dùng,Cần chỉnh sửa,"Đã có login cơ bản nhưng chưa lọc active = 0, chưa tự động khóa phiên khi không hoạt động và chưa có khóa tạm thời khi nhập sai mật khẩu.","• Nhập email và mật khẩu. Lọc tài khoản bị khóa (active = 0).
• Khóa đăng nhập tạm thời từ 15-30 phút nếu nhập sai mật khẩu quá 5-10 lần liên tiếp (chống tấn công dò mật khẩu).
• Tự động điều hướng về trang đích trước đó nếu có tham số redirect.
• Phiên đăng nhập tự hết hạn sau 30 phút không hoạt động."
2,Đăng nhập bằng Google,Người dùng,Cần chỉnh sửa,Chưa tích hợp OAuth2 Google hoàn chỉnh hoặc thiếu đồng bộ ảnh đại diện do DB thiếu trường lưu trữ.,"• Chuyển hướng đến trang xác thực OAuth2 của Google.
• Xác thực thành công trong < 5 giây.
• Tự động tạo hoặc liên kết tài khoản nếu email trùng khớp.
• Đồng bộ tên và ảnh đại diện từ Google."
3,Đăng ký tài khoản mới & Xác thực OTP,Người dùng,Cần chỉnh sửa,Đăng ký xong tự động kích hoạt trực tiếp trong DB mà không gửi email xác nhận. Chưa sử dụng giải thuật băm mật khẩu MD5.,"• Nhập thông tin đăng ký (Họ tên, Email, Mật khẩu).
• Bắt buộc băm mật khẩu bằng giải thuật MD5 trước khi lưu trữ vào DB.
• Gửi email chứa mã OTP kích hoạt tài khoản trong vòng 60 giây.
• Mã/Link xác nhận gửi qua email có hiệu lực trong vòng 24 giờ.
• Sau khi xác nhận -> tự động kích hoạt và đăng nhập.
• Phân biệt tài khoản chưa xác thực (không cho đăng nhập) và tài khoản bị Admin khóa do vi phạm (cấm đăng ký mới bằng email cũ này)."
4,Đổi mật khẩu,Người dùng,Cần chỉnh sửa,Đã có đổi mật khẩu nhưng chưa gửi email thông báo khi thay đổi thành công để bảo mật tài khoản.,"• Yêu cầu nhập mật khẩu cũ. Mật khẩu mới và xác nhận mật khẩu mới.
• Kiểm tra mật khẩu mới trùng khớp xác nhận và thỏa mãn độ mạnh.
• Gửi email cảnh báo bảo mật ngay sau khi đổi mật khẩu thành công."
5,Quản lý mật khẩu mạnh,Người dùng,Cần chỉnh sửa,Chỉ kiểm tra độ mạnh ở backend. Chưa có thanh đánh giá và cảnh báo mật khẩu trực quan ở frontend.,"• Hiển thị thanh đo độ mạnh mật khẩu trực quan khi người dùng nhập.
• Yêu cầu bắt buộc 8-128 ký tự. Gồm ít nhất một chữ hoa, chữ thường và chữ số."
6,Quên mật khẩu & Gửi OTP,Người dùng,Cần chỉnh sửa,Đã có tính năng tạo link reset nhưng chưa gửi mã OTP xác nhận qua Email.,"• Gửi mã OTP gồm 6 chữ số qua email của người dùng trong vòng 60 giây.
• Mã OTP có hiệu lực trong vòng 15 phút và chỉ sử dụng được 1 lần duy nhất."
7,Đặt lại mật khẩu qua OTP/Token,Người dùng,Cần chỉnh sửa,Yêu cầu đặt lại mật khẩu chưa giới hạn số lần yêu cầu gây tràn tài nguyên gửi mail.,"• Nhập mã OTP và mật khẩu mới để đặt lại.
• Mã/Link reset hoạt động một lần duy nhất. Hết hạn sau 1 tiếng.
• Giới hạn tối đa 5 yêu cầu quên mật khẩu trong vòng 1 giờ cho mỗi địa chỉ IP/User."
8,Xóa tài khoản,Người dùng,Thêm mới,Hệ thống chưa có chức năng xóa tài khoản của người dùng trên giao diện.,"• Xác nhận bước 1: Hiển thị hộp thoại cảnh báo ""Bạn có chắc chắn muốn xóa?"".
• Xác nhận bước 2: Gửi mã OTP xác nhận qua email để xác minh chính chủ.
• Tài khoản sẽ bị khóa ngay lập tức và xóa vĩnh viễn dữ liệu sau 7 ngày.
• Trong 7 ngày đó, nếu đăng nhập lại thì sẽ tự động hủy yêu cầu xóa."
9,Đăng xuất xác nhận,Người dùng,Cần chỉnh sửa,Bấm đăng xuất là thoát luôn khỏi hệ thống mà không hỏi lại xác nhận từ người dùng.,"• Hiển thị hộp thoại xác nhận ""Bạn có chắc chắn muốn đăng xuất?"".
• Cung cấp 2 lựa chọn: ""Đăng xuất"" và ""Hủy"".
• Xác nhận -> xóa toàn bộ session, Token, và chuyển hướng về trang đăng nhập."
10,Cập nhật thông tin cá nhân & Avatar,Người dùng,Cần chỉnh sửa,Mới chỉ cập nhật được họ tên và email. Chưa cho phép người dùng tải lên ảnh đại diện (avatar).,"• Xem và chỉnh sửa họ tên, số điện thoại, email.
• Cho phép upload ảnh đại diện mới (lưu trữ cục bộ hoặc đám mây) và hiển thị trực quan trên thanh header.
• Kiểm tra không trùng email/SĐT với tài khoản khác khi cập nhật."
